timestep	potential_energy	temperature
179999	707329.9279	1.000196355
359999	712655.6979	0.9952145685
539999	711681.5589	0.9826955719
719999	700536.8618	1.027305477
899999	717915.341	1.010759318
1079999	688519.7161	0.975102905
1259999	702050.6384	0.9920131611
1439999	727936.3958	0.9873517598
1619999	714849.748	1.002780337
1799999	697054.9831	0.9834036315
1979999	721242.5821	1.030363699
2159999	703417.5029	0.9953350789
2339999	695234.3923	0.9959917591
2519999	703037.2208	1.001761205
2699999	694568.0962	1.00352327
2879999	690786.0798	0.9909377246
3059999	698451.4299	1.002692827
3239999	700792.1608	0.980866703
3419999	696269.4921	1.022627095
3599999	696637.7995	0.9659558748
3779999	690110.9327	0.9851938606
3959999	687908.6517	1.008536797
4139999	689740.6814	1.020470149
4319999	699895.4374	0.9984141993
4499999	692311.5548	0.999663117
4679999	707210.4556	0.9919298776
4859999	692343.5986	0.9787603195
5039999	714188.3346	1.000058592
5219999	694240.3475	0.9868529323
5399999	701061.4813	1.008365759
5579999	694189.8226	0.9960428488
5759999	698476.1982	0.9778507766
5939999	688717.6893	1.004843014
6119999	691760.8718	0.987930618
6299999	693885.05	1.071275578
6479999	725883.6978	0.9852777187
6659999	704822.35	1.007590225
6839999	688736.371	0.9852114315
7019999	694225.2061	1.001064929
7199999	715171.1088	0.9906471267
7379999	712384.1262	1.015272769
7559999	694786.3416	1.018234942
7739999	692888.3802	1.013856574
7919999	692902.0038	0.9932122042
8099999	689851.9937	0.9897249183
8279999	699608.7164	0.9732253857
8459999	718396.2382	0.9765724707
8639999	701599.3947	0.9875681015
8819999	701677.2614	1.000090185
8999999	695232.2092	1.035264013
9179999	698685.6932	1.004926452
9359999	713629.3964	0.9825034551
9539999	689937.2934	0.9868664712
9719999	708316.5524	0.9843011361
9899999	688453.0977	0.9801786819
10079999	692131.3588	1.02612757
10259999	692339.204	1.002671457
10439999	717016.8902	0.9743736305
10619999	692216.7577	1.005531029
10799999	697044.2332	0.9826980613
10979999	686747.6765	1.030222723
11159999	713335.2054	0.9885354223
11339999	698638.069	1.004169128
11519999	685557.9729	1.016166541
11699999	696643.7991	1.005813966
11879999	694379.0617	1.021507324
12059999	689235.3188	0.9941084201
12239999	698143.99	0.9848777547
12419999	709882.8534	0.9930435917
12599999	712943.7216	0.9872996986
12779999	693298.4322	0.9716984354
12959999	688127.8725	0.99532049
13139999	684705.8172	1.007519808
13319999	695502.3732	1.017539561
13499999	705823.3336	1.009464638
13679999	699068.4649	0.9941022338
13859999	691755.9399	1.016210928
14039999	711397.2704	0.9937314293
14219999	690754.64	1.012107674
14399999	709049.8265	0.9865809256
14579999	690217.8512	1.029113122
14759999	705488.0154	1.008581066
14939999	702133.3216	1.013959016
15119999	695308.8582	0.9683526939
15299999	705317.5303	1.015992336
15479999	690762.6581	1.010198615
15659999	699325.4705	0.9935574172
15839999	692443.95	0.9888495384
16019999	692168.7715	0.9989403604
16199999	691067.3251	1.002193777
16379999	696961.2836	0.9984983376
16559999	688453.8715	0.9695296395
16739999	693453.7515	0.9901846311
16919999	714060.6098	0.9826336407
17099999	706070.249	0.9806415726
17279999	690078.9257	0.9716415907
17459999	710395.1469	0.9710644563
17639999	693441.0168	0.9990849131
17819999	685652.5494	1.004610232
17999999	708527.2685	1.000880819
18179999	694646.9478	0.9937248356
18359999	717380.1514	0.9889141567
18539999	728139.9727	0.9841178317
18719999	727648.5946	0.9890710669
18899999	693882.7836	1.020711792
